Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2022,6,montgd1,David Montgomery,RB,CHI,WAS,15.4,8,14.0,0.0,0.0,0.0,0.0,0.0,14.2,58.7,0.4,3.0,21.1,0.1,0.0,2.9,1.0,0.1,0.0,0.0,A-Game
2022,6,hended3,Darrell Henderson,RB,LAR,CAR,20.4,25,13.8,0.0,0.0,0.0,0.0,0.0,14.0,59.8,0.6,2.4,15.8,0.1,0.0,3.0,0.7,0.1,0.0,0.0,B-Game
2022,6,benjae1,Eno Benjamin,RB,ARI,@SEA,22.7,28,13.6,0.0,0.0,0.0,0.0,0.0,13.6,53.0,0.5,3.0,21.7,0.1,0.0,2.7,1.0,0.1,0.0,0.0,B-Game
2022,6,gordom1,Melvin Gordon,RB,DEN,@LAC,23.0,29,13.5,0.0,0.0,0.0,0.0,0.0,15.1,58.6,0.4,3.0,19.3,0.1,0.0,2.9,0.9,0.1,0.0,0.0,B-Game
2022,6,edwarc1,Clyde Edwards-Helaire,RB,KC,BUF,18.2,20,13.5,0.0,0.0,0.0,0.0,0.0,9.6,37.3,0.4,3.1,28.8,0.3,0.0,1.9,1.3,0.1,0.0,0.0,B-Game
2022,6,sandem1,Miles Sanders,RB,PHI,DAL,15.6,10,13.5,0.0,0.0,0.0,0.0,0.0,18.8,85.9,0.3,1.9,9.8,0.0,0.0,4.3,0.5,0.1,0.0,0.0,B-Game
2022,6,wilsoj2,Jeff Wilson,RB,SF,@ATL,19.7,22,13.5,0.0,0.0,0.0,0.0,0.0,18.9,84.8,0.4,1.7,12.8,0.0,0.0,4.3,0.6,0.1,0.0,0.0,B-Game
2022,6,walkek1,Ken Walker,RB,SEA,ARI,17.7,18,13.4,0.0,0.0,0.0,0.0,0.0,17.6,71.6,0.6,1.8,11.2,0.1,0.0,3.6,0.5,0.2,0.0,0.0,B-Game
2022,6,singld1,Devin Singletary,RB,BUF,@KC,19.9,23,12.6,0.0,0.0,0.0,0.0,0.0,10.7,45.9,0.2,3.4,27.3,0.1,0.0,2.3,1.3,0.1,0.0,0.0,B-Game
2022,6,jacksd7,Deon Jackson,RB,IND,JAX,18.6,21,12.4,0.0,0.0,0.0,0.0,0.0,10.0,34.8,0.3,3.7,27.9,0.1,0.0,1.7,1.3,0.1,0.0,0.0,B-Game
2022,6,moster1,Raheem Mostert,RB,MIA,MIN,17.7,19,12.2,0.0,0.0,0.0,0.0,0.0,14.5,60.5,0.6,1.4,10.7,0.0,0.0,3.0,0.5,0.1,0.0,0.0,B-Game
2022,6,dobbij1,J.K. Dobbins,RB,BAL,@NYG,16.3,15,12.0,0.0,0.0,0.0,0.0,0.0,11.6,46.5,0.5,2.1,16.3,0.1,0.0,2.3,0.7,0.1,0.0,0.0,B-Game
2022,6,harrin1,Najee Harris,RB,PIT,TB,11.6,1,11.7,0.0,0.0,0.0,0.0,0.0,13.3,49.3,0.4,2.2,14.7,0.1,0.0,2.5,0.7,0.1,0.0,0.0,B-Game
2022,6,huntk1,Kareem Hunt,RB,CLE,NE,14.0,4,11.5,0.0,0.0,0.0,0.0,0.0,9.2,38.9,0.3,2.8,18.5,0.2,0.0,1.9,0.9,0.1,0.0,0.0,B-Game
2022,6,dilloa1,A.J. Dillon,RB,GB,NYJ,20.2,24,11.5,0.0,0.0,0.0,0.0,0.0,12.1,46.8,0.5,1.9,17.8,0.1,0.0,2.3,0.8,0.1,0.0,0.0,B-Game
2022,6,etient1,Travis Etienne,RB,JAX,@IND,15.1,6,11.3,0.0,0.0,0.0,0.0,0.0,10.4,43.8,0.1,2.6,29.8,0.1,0.0,2.2,1.4,0.1,0.0,0.0,B-Game
2022,6,robinj4,James Robinson,RB,JAX,@IND,15.1,6,11.3,0.0,0.0,0.0,0.0,0.0,13.6,52.7,0.5,1.6,9.9,0.1,0.0,2.6,0.5,0.1,0.0,0.0,B-Game
2022,6,ellioe1,Ezekiel Elliott,RB,DAL,@PHI,15.2,7,10.8,0.0,0.0,0.0,0.0,0.0,15.0,57.4,0.4,1.6,11.0,0.1,0.0,2.9,0.5,0.1,0.0,0.0,B-Game
