Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade,Y! (Proj),Y! ($),Y! (Val),Y! (Pt/$),Y! (Flr),Y! (Flr Val),Y! (Floor/$),Y! (Ceil),Y! (Ceil Val),Y! (Ceil/$),Y! (Wk $ Chg),O/U,Line,Team O/U
2022,6,chubbn1,Nick Chubb,RB,CLE,NE,14.0,4,17.2,0.0,0.0,0.0,0.0,0.0,19.6,100.0,1.1,1.1,7.2,0.1,0.0,5.0,0.3,0.1,0.0,0.0,A-Game,17.8,36.0,2.7,0.49,7.0,-8.16,0.19,24.9,9.80,0.69,--,43.000,-2.5,22.75
2022,6,barkls1,Saquon Barkley,RB,NYG,BAL,15.8,12,17.1,0.0,0.0,0.0,0.0,0.0,19.8,84.3,0.7,3.8,33.7,0.3,0.0,4.2,1.5,0.2,0.0,0.0,A-Game,19.1,39.0,2.7,0.49,7.8,-8.60,0.20,26.0,9.67,0.67,--,45.500,5.5,20
2022,6,ekelea1,Austin Ekeler,RB,LAC,DEN,15.0,5,16.3,0.0,0.0,0.0,0.0,0.0,15.4,67.0,0.6,5.7,39.7,0.4,0.0,3.4,1.8,0.1,0.0,0.0,A-Game,19.2,32.0,5.7,0.60,7.7,-5.70,0.24,26.0,12.57,0.81,--,45.500,-4.5,25
2022,6,kamara1,Alvin Kamara,RB,NO,CIN,16.2,14,15.4,0.0,0.0,0.0,0.0,0.0,20.1,70.1,0.5,4.1,42.4,0.3,0.0,3.5,1.9,0.2,0.0,0.0,A-Game,17.5,25.0,7.0,0.70,6.9,-3.63,0.27,24.8,14.30,0.99,--,43.500,3,20.25
2022,6,stever1,Rhamondre Stevenson,RB,NE,@CLE,25.7,30,15.3,0.0,0.0,0.0,0.0,0.0,18.9,88.4,0.6,3.5,25.4,0.1,0.0,4.4,1.2,0.2,0.0,0.0,A-Game,17.0,26.0,6.1,0.65,6.8,-4.17,0.26,24.4,13.52,0.94,--,43.000,2.500,20.25
2022,6,mccafc1,Christian McCaffrey,RB,CAR,@LAR,11.8,2,15.0,0.0,0.0,0.0,0.0,0.0,17.8,75.1,0.4,5.5,40.4,0.2,0.0,3.8,1.9,0.2,0.0,0.0,A-Game,17.7,31.0,4.7,0.57,7.7,-5.35,0.25,25.1,12.06,0.81,--,41.500,10.000,15.75
2022,6,fournl1,Leonard Fournette,RB,TB,@PIT,15.8,11,13.9,0.0,0.0,0.0,0.0,0.0,18.9,63.6,0.5,4.6,37.2,0.2,0.0,3.2,1.7,0.1,0.0,0.0,B-Game,16.2,24.0,6.1,0.67,6.1,-3.97,0.25,23.7,13.59,0.99,--,46.000,-9.500,27.75
2022,6,cookd1,Dalvin Cook,RB,MIN,@MIA,22.7,27,13.9,0.0,0.0,0.0,0.0,0.0,18.5,82.4,0.7,2.4,14.5,0.1,0.0,4.1,0.7,0.1,0.0,0.0,B-Game,15.1,22.0,5.8,0.68,4.9,-4.32,0.22,22.8,13.55,1.04,--,45.500,-3.000,24.25
2022,6,jonesa2,Aaron Jones,RB,GB,NYJ,20.2,24,13.2,0.0,0.0,0.0,0.0,0.0,14.1,66.5,0.5,3.2,25.4,0.2,0.0,3.3,1.2,0.1,0.0,0.0,B-Game,14.9,28.0,3.1,0.53,4.9,-6.89,0.17,22.6,10.81,0.81,--,45.000,-7.5,26.25
2022,6,mixonj1,Joe Mixon,RB,CIN,@NO,16.9,17,13.0,0.0,0.0,0.0,0.0,0.0,17.5,67.8,0.5,3.2,23.1,0.2,0.0,3.4,1.1,0.1,0.0,0.0,B-Game,14.6,22.0,5.4,0.66,4.8,-4.46,0.22,22.4,13.21,1.02,--,43.500,-3.000,23.25
