"RB","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"32","82","Leonard Fournette","","","30","30","30","35","","33.0"
"33","88","Ronald Jones II","","","37","32","38","31","","34.0"
"34","91","Michael Carter","ARI","12","42","34","33","33","","34.2"
"35","97","James Conner","ARI","12","34","35","37","37","","36.2"
"36","104","Zack Moss","IND","14","38","37","36","34","","36.5"
"37","101","AJ Dillon","GB","13","35","38","42","39","","37.0"
"38","114","Sony Michel","","","31","45","48","36","","38.8"
"39","103","Kenyan Drake ","","","32","36","41","42","","39.0"
"40","112","Devin Singletary","HOU","10","40","39","43","41","","39.7"
"41","113","Jamaal Williams","NO","6","39","42","46","38","","40.0"
"42","124","Nyheim Hines","BUF","7","41","41","49","40","","43.3"
"43","132","Tony Pollard","DAL","7","47","44","44","44","","44.0"
"44","131","David Johnson","","","43","40","39","47","","44.2"
"45","138","J.D. McKissic","","","46","47","52","43","","45.5"
"46","145","Phillip Lindsay","","","45","43","45","46","","47.2"
"47","148","James White ","","","44","51","53","49","","47.7"
"48","151","Alexander Mattison","MIN","7","48","49","51","50","","47.8"
"49","163","Tevin Coleman","","","53","52","54","45","","50.5"
"50","165","Rhamondre Stevenson","NE","14","49","50","59","48","","51.3"
"51","169","Giovani Bernard","","","51","53","58","53","","52.3"
"52","171","Chuba Hubbard","CAR","13","54","46","63","55","","55.0"
"53","191","Latavius Murray","BUF","7","60","48","55","56","","55.8"
"54","176","Kenneth Gainwell","PHI","14","","54","47","54","","52.8"
"55","212","Mark Ingram II","","","57","64","57","60","","60.0"
"56","195","Ty'Son Williams","","","52","60","64","51","","54.5"
"57","186","Rashaad Penny","PHI","14","","58","61","59","","55.5"
"58","216","Tony Jones Jr.","ARI","12","","179","74","52","","60.8"
"59","206","Darrel Williams","","","","67","60","61","","60.8"
"60","215","Tarik Cohen","CAR","13","","71","50","64","","55.7"
"61","224","Damien Williams","","","","57","68","57","","59.7"
"62","230","Malcolm Brown","","","50","69","","71","","61.3"
"63","240","Le'Veon Bell","","","56","66","65","65","","62.0"
"64","247","Cam Akers","MIN","7","59","96","40","","","72.3"
"65","222","Ty Johnson","BUF","7","","63","","68","","63.7"
"66","231","Marlon Mack","ARI","12","","59","62","72","","64.3"
"67","250","Todd Gurley II","","","","84","56","74","","65.3"
"68","243","Jerick McKinnon","KC","12","","65","66","58","","68.0"
"69","233","Devontae Booker","","","","55","","62","","61.0"
"70","258","Benny Snell Jr.","","","","","70","73","","70.0"
"71","267","J.J. Taylor","HOU","10","","188","73","77","","70.7"
"72","246","Boston Scott","PHI","14","","56","72","63","","70.7"
"73","253","Carlos Hyde ","","","","61","69","66","","73.7"
"74","255","Darrynton Evans","BUF","7 ","","74","","67","","69.5"
"75","268","Justin Jackson","","","","182","","69","","73.5"
"76","266","Salvon Ahmed","MIA","14","","72","","79","","75.0"
"77","288","Elijah Mitchell","SF","6","","","","","","64.0"
"78","280","Jeff Wilson Jr.","MIA","14","","","","84","","76.0"
"79","343","Kyle Juszczyk","SF","6","","","67","","","91.0"
"80","297","Anthony McFarland Jr.","","","","","","","","70.0"
"81","279","Wayne Gallman Jr.","","","","177","","70","","78.5"
"82","367","Adrian Peterson ","","","","","71","","","90.5"
"83","302","Jake Funk","DET","9","","","","","","73.0"
"84","281","Javian Hawkins","TEN","13","","75","","","","74.0"
"85","305","Royce Freeman","LAR","11","","168","","","","75.0"
"86","299","Joshua Kelley","LAC","7","","","","75","","83.0"
"87","454","DeeJay Dallas","SEA","9","","","75","","","93.0"
"88","301","Larry Rountree III","","","","","","76","","82.5"
"89","264","Cordarrelle Patterson","ATL","6","","62","","78","","78.0"
"90","315","La'Mical Perine","KC","12","","","","","","79.0"
"91","326","Samaje Perine","DEN","11","","","","80","","86.5"
"92","310","Jaret Patterson","LAC","7","","","","81","","84.5"
"93","336","Alex Collins","","","","181","","82","","82.0"
"94","331","Brian Hill","","","","","","","","82.0"
"95","342","Pooka Williams Jr.","","","","","","","","83.0"
"96","340","Mekhi Sargent","","","","167","","83","","83.0"
"97","344","Qadree Ollison","","","","","","","","84.0"
"98","354","Mike Boone","CAR","13","","","","","","85.0"
"99","352","JaMycal Hasty","NE","14","","","","85","","85.0"
"100","359","Chris Evans","CIN","10","","","","86","","90.5"
"101","377","Jalen Richard","","","","","","","","90.0"
"102","378","Eno Benjamin","NO","6","","","","","","92.0"
"103","386","Ke'Shawn Vaughn","NE","14","","","","","","94.0"
"104","388","Kalen Ballage","","","","","","","","96.0"
"105","390","De'Angelo Henderson Sr.","","","","","","","","97.0"
"106","393","Kerryon Johnson","","","","","","","","98.0"
"107","394","D'Onta Foreman","CHI","10","","","","","","99.0"
"108","395","Ito Smith","","","","","","","","100.0"
"109","397","Ameer Abdullah","LV","8","","157","","","","101.0"
"110","401","Jonathan Williams","WAS","9","","112","","","","102.0"
"111","406","Matt Breida","NYG","10","","","","","","103.0"
"112","423","Antonio Williams","","","","","","","","104.0"
"113","429","Ty Montgomery II","","","","","","","","105.0"
"114","434","Jermar Jefferson","DET","9","","","","","","106.0"
"115","435","Jaylen Samuels","","","","82","","","","107.0"
"116","440","Ray Rice","","","","","","","","108.0"
"117","441","Kylin Hill ","","","","","","","","109.0"
"118","455","Corey Clement","","","","","","","","112.0"
"119","462","Gerrid Doaks","","","","","","","","113.0"
"120","469","Jeremy McNichols","","","","90","","","","114.0"
"121","480","Rex Burkhead","","","","","","","","116.0"
"122","303","Xavier Jones","","","","68","","","","117.0"
""
""
