"name","team","appHalfProjectedPoints"
"Amari Cooper","BUF",8.9
"Will Dissly","LAC",8.9
"Ameer Abdullah","LV",8.7
"Adam Thielen","CAR",8.6
"T.J. Hockenson","MIN",8.6
"Gus Edwards","LAC",8.5
"Tank Bigsby","JAC",8.4
"Marquez Valdes-Scantling","NO",8.4
"Raheem Mostert","MIA",8.2
"Pat Freiermuth","PIT",8
"Christian Watson","GB",7.9
"Cole Kmet","CHI",7.9
"Kyle Pitts","ATL",7.8
"Sincere McCormick","LV",7.7
"Elijah Moore","CLE",7.7
"Quentin Johnston","LAC",7.6
"Xavier Legette","CAR",7.5
"Tucker Kraft","GB",7.5
"Mack Hollins","BUF",7.4
"Kareem Hunt","KC",7.3
"Parker Washington","JAC",7.3
"Tre Tucker","LV",7.3
"Jerome Ford","CLE",7.2
"Romeo Doubs","GB",7.1
"Ray Davis","BUF",7
"Tyjae Spears","TEN",7
"Rome Odunze","CHI",7
"Michael Wilson","ARI",6.9
"Mike Gesicki","CIN",6.9
"Xavier Worthy","KC",6.8
"Ricky Pearsall","SF",6.8
"Ray-Ray McCloud","ATL",6.8
"Jamaal Williams","NO",6.6
"Kevin Austin","NO",6.6
"WanDale Robinson","NYG",6.6
"Tyler Conklin","NYJ",6.5
"Braelon Allen","NYJ",6.4
"Cam Akers","MIN",6.3
"Zach Charbonnet","SEA",6.3
"Demarcus Robinson","LAR",6.3
"Luke Schoonmaker","DAL",6.3
"KaVontae Turpin","DAL",6.2
"Juwan Johnson","NO",6.2
"Noah Gray","KC",6.2
"Jalen Tolbert","DAL",6.1
"Dawson Knox","BUF",6.1
"Joshua Palmer","LAC",6
"Darius Slayton","NYG",5.9
"Tyler Lockett","SEA",5.8
"Jonathon Brooks","CAR",5.7
"Devin Singletary","NYG",5.7
"Tyler Boyd","TEN",5.5
"Sterling Shepard","TB",5.4
"David Moore","CAR",5.4
"Tyler Allgeier","ATL",5.3
"Grant Calcaterra","PHI",5.3
"Tommy Tremble","CAR",5.3
"Chigoziem Okonkwo","TEN",5.2
"Noah Fant","SEA",4.8
"Brenton Strange","JAC",4.8
"Jordan Akins","CLE",4.8
"Kimani Vidal","LAC",4.7
"Trey Benson","ARI",4.7
"Kenneth Gainwell","PHI",4.5
"Andrei Iosivas","CIN",4.5
"Travis Homer","CHI",4.3
"Ezekiel Elliott","DAL",4.3
"Patrick Taylor","SF",4.2
"Tim Patrick","DET",4.1
"Van Jefferson","PIT",4
"Mike Williams","PIT",3.8
"Jalen McMillan","TB",3.8
"Blake Corum","LAR",3.5
"Daniel Bellinger","NYG",3.5
"Khalil Herbert","CIN",3.4
"Emari Demercado",,3.3
"Colby Parkinson","LAR",3
"Kyle Juszczyk",,2.6
"Cordarrelle Patterson",,2.6
"Hunter Luepke",,2.5
"Isaiah Davis",,2.4
"Ty Johnson",,2.4
"Chris Brooks",,1.8
"Sean Tucker",,1.5
"Samaje Perine",,1.1
"Hassan Haskins",,1
"Alec Ingold",,0.7
"Ty Chandler",,0.4
"Julius Chestnut",,0.4
"Davis Mills","HOU",0.3
"Will Shipley",,0.3
"","DEN",-0.7
,"GB",
"Foster Moreau","NO",3.8
"Tanner Hudson","CIN",3.8
"Cedrick Wilson","NO",3.6
"Jalen Nailor","MIN",3.5
"Darnell Washington","PIT",3.5
"Johnny Mundt","MIN",3.3
"Justin Watson","KC",3.1
"Devin Duvernay","JAC",2.9
"Brevyn Spann-Ford","DAL",2.9
"Josh Whyle","TEN",2.8
"AJ Barner","SEA",2.7
"Elijah Higgins","ARI",2.6
"Jahan Dotson","PHI",2.3
"Malik Washington","MIA",2.3
"Greg Dortch","ARI",2.3
"Davis Allen","LAR",2.2
"Michael Mayer","LV",2.2
"Chris Manhertz","NYG",2
"Jeremy Ruckert","NYJ",2
"Quintin Morris","BUF",2
"Brock Wright","DET",1.9
"Stone Smartt","LAC",1.8
